*110205+0000000000001011 21...2+0000000000149854 22...2+0000000010136506 31...6+0000000000730268 51....-000000000007+175 87...6+0000000000001200 
*110206+0000000000001012 21...2+0000000000281981 22...2+0000000010136351 31...6+0000000000730423 51....-000000000007+175 87...6+0000000000001200 
*110207+0000000000001013 21...2+0000000000343380 22...2+0000000010221285 31...6+0000000000391407 51....-000000000007+175 87...6+0000000000001200 
*110208+0000000000001014 21...2+0000000000095766 22...2+0000000010222392 31...6+0000000000390286 51....-000000000007+175 87...6+0000000000001200 
*110209+0000000000001015 21...2+0000000039757534 22...2+0000000010765404 31...6+0000000000099270 51....-000000000007+175 87...6+0000000000001200 
*110210+0000000000001016 21...2+0000000000736981 22...2+0000000010763917 31...6+0000000000099486 51....-000000000007+175 87...6+0000000000001200 
*110211+0000000000001017 21...2+0000000019692854 22...2+0000000010678092 31...6+0000000000100399 51....-000000000007+175 87...6+0000000000001200 
*110212+0000000000001018 21...2+0000000020662356 22...2+0000000010677850 31...6+0000000000100365 51....-000000000007+175 87...6+0000000000001200 
*110001+0000000000990003 84...6+0000000000000000 85...6+0000000000000000 86...6+0000000000000000 88...6+0000000000000000 
*110052+0000000000000013 21...2+0000000038474854 22...2+0000000010527591 31...6+0000000000111422 51....+000000000007+175 87...6+0000000000000000 
*110053+0000000000000011 21...2+0000000039916464 22...2+0000000010121823 31...6+0000000000627851 51....+000000000007+175 87...6+0000000000000000 
*110054+000000000000009b 21...2+0000000039999874 22...2+0000000010094139 31...6+0000000000850045 51....+000000000007+175 87...6+0000000000000000 
*110055+000000000000009a 21...2+0000000000419506 22...2+0000000010108901 31...6+0000000000849424 51....+000000000007+175 87...6+0000000000000000 
*110056+0000000000000012 21...2+0000000000663110 22...2+0000000010200386 31...6+0000000000365122 51....+000000000007+175 87...6+0000000000000000 
*110057+0000000000000014 21...2+0000000017999217 22...2+0000000010396524 31...6+0000000000087752 51....+000000000007+175 87...6+0000000000000000 
*110058+0000000000000016 21...2+0000000019899762 22...2+0000000010059565 31...6+0000000000572273 51....+000000000007+175 87...6+0000000000000000 
*110059+0000000000000018 21...2+0000000020021822 22...2+0000000010032141 31...6+0000000000836062 51....+000000000007+175 87...6+0000000000000000 
*110060+0000000000000020 21...2+0000000020079860 22...2+0000000010011533 31...6+0000000001233498 51....+000000000007+175 87...6+0000000000000000 
*110061+0000000000000019 21...2+0000000020397079 22...2+0000000010006199 31...6+0000000001066423 51....+000000000007+175 87...6+0000000000000000 
*110062+0000000000000017 21...2+0000000020544129 22...2+0000000010056574 31...6+0000000000573112 51....+000000000007+175 87...6+0000000000000000 
*110063+0000000000000015 21...2+0000000020781109 22...2+0000000010138010 31...6+0000000000315571 51....+000000000007+175 87...6+0000000000000000 
*110064+0000000000000015 21...2+0000000000781013 22...2+0000000029861986 31...6+0000000000315571 51....+000000000007+175 87...6+0000000000000000 
*110065+0000000000000017 21...2+0000000000544106 22...2+0000000029943482 31...6+0000000000573112 51....+000000000007+175 87...6+0000000000000000 
*110066+0000000000000019 21...2+0000000000397014 22...2+0000000029993777 31...6+0000000001066426 51....+000000000007+175 87...6+0000000000000000 
*110067+0000000000000020 21...2+0000000000079858 22...2+0000000029988473 31...6+0000000001233500 51....+000000000007+175 87...6+0000000000000000 
*110068+0000000000000018 21...2+0000000000021811 22...2+0000000029967864 31...6+0000000000836065 51....+000000000007+175 87...6+0000000000000000 
*110069+0000000000000016 21...2+0000000039899676 22...2+0000000029940506 31...6+0000000000572273 51....+000000000007+175 87...6+0000000000000000 
*110070+0000000000000014 21...2+0000000037999097 22...2+0000000029603444 31...6+0000000000087752 51....+000000000007+175 87...6+0000000000000000 
*110071+0000000000000012 21...2+0000000020663138 22...2+0000000029799669 31...6+0000000000365121 51....+000000000007+175 87...6+0000000000000000 
*110072+000000000000009a 21...2+0000000020419463 22...2+0000000029891190 31...6+0000000000849427 51....+000000000007+175 87...6+0000000000000000 
*110073+000000000000009b 21...2+0000000019999880 22...2+0000000029905942 31...6+0000000000850048 51....+000000000007+175 87...6+0000000000000000 
*110074+0000000000000011 21...2+0000000019916409 22...2+0000000029878304 31...6+0000000000627852 51....+000000000007+175 87...6+0000000000000000 
*110075+0000000000000013 21...2+0000000018474799 22...2+0000000029472381 31...6+0000000000111421 51....+000000000007+175 87...6+0000000000000000 
*110076+0000000000000013 21...2+0000000038474864 22...2+0000000010527586 31...6+0000000000111422 51....+000000000007+175 87...6+0000000000000000 
*110077+0000000000000011 21...2+0000000039916516 22...2+0000000010121703 31...6+0000000000627851 51....+000000000007+175 87...6+0000000000000000 
*110078+000000000000009b 21...2+0000000039999927 22...2+0000000010094006 31...6+0000000000850045 51....+000000000007+175 87...6+0000000000000000 
*110079+000000000000009a 21...2+0000000000419570 22...2+0000000010108791 31...6+0000000000849423 51....+000000000007+175 87...6+0000000000000000 
*110080+0000000000000012 21...2+0000000000663087 22...2+0000000010200345 31...6+0000000000365122 51....+000000000007+175 87...6+0000000000000000 
*110081+0000000000000014 21...2+0000000017999200 22...2+0000000010396533 31...6+0000000000087751 51....+000000000007+175 87...6+0000000000000000 
*110082+0000000000000016 21...2+0000000019899843 22...2+0000000010059702 31...6+0000000000572273 51....+000000000007+175 87...6+0000000000000000 
*110083+0000000000000018 21...2+0000000020021854 22...2+0000000010032157 31...6+0000000000836061 51....+000000000007+175 87...6+0000000000000000 
*110084+0000000000000020 21...2+0000000020079827 22...2+0000000010011625 31...6+0000000001233497 51....+000000000007+175 87...6+0000000000000000 
*110085+0000000000000019 21...2+0000000020397062 22...2+0000000010006221 31...6+0000000001066423 51....+000000000007+175 87...6+0000000000000000 
*110086+0000000000000017 21...2+0000000020544109 22...2+0000000010056516 31...6+0000000000573112 51....+000000000007+175 87...6+0000000000000000 
*110087+0000000000000015 21...2+0000000020781097 22...2+0000000010138131 31...6+0000000000315571 51....+000000000007+175 87...6+0000000000000000 
*110088+0000000000000015 21...2+0000000000781041 22...2+0000000029862001 31...6+0000000000315571 51....+000000000007+175 87...6+0000000000000000 
*110089+0000000000000017 21...2+0000000000544127 22...2+0000000029943510 31...6+0000000000573112 51....+000000000007+175 87...6+0000000000000000 
*110090+0000000000000019 21...2+0000000000396993 22...2+0000000029993840 31...6+0000000001066426 51....+000000000007+175 87...6+0000000000000000 
